X,Y,ADDRTYPE,FATALITIES,INATTENTIONIND,INCDATE,YEAR,INJURIES,LIGHTCOND,PEDCOUNT,PEDCYLCOUNT,PEDROWNOTGRNT,PERSONCOUNT,ROADCOND,SERIOUSINJURIES,SEVERITYCODE,SEVERITYDESC,SPEEDING,UNDERINFL,VEHCOUNT,WEATHER,PEDORBIKECOUNT
-122.3248983,47.61774367,Block,0,,2016/12/13 00:00:00+00,2016,1,Dark - Street Lights On,0,1,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3121488,47.65534016,Intersection,0,,2016/12/02 00:00:00+00,2016,1,Dark - Street Lights On,1,0,Y,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3322897,47.61727621,Block,0,,2017/02/09 00:00:00+00,2017,1,Dark - Street Lights On,1,0,,2,Wet,0,2,Injury Collision,,Y,1,Overcast,1
-122.3207496,47.60621255,Intersection,0,,2016/12/07 00:00:00+00,2016,1,Dark - Street Lights On,0,1,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.325633,47.61848878,Intersection,0,,2017/02/03 00:00:00+00,2017,1,Dark - Street Lights On,1,0,,0,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3298224,47.61445724,Intersection,0,Y,2017/02/25 00:00:00+00,2017,1,Dark - Street Lights On,1,0,,3,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3567092,47.62458297,Intersection,0,,2017/01/06 00:00:00+00,2017,1,Daylight,1,0,Y,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3427326,47.64941987,Intersection,0,,2016/11/18 00:00:00+00,2016,1,Daylight,0,1,,1,Dry,0,2,Injury Collision,,N,1,Overcast,1
-122.3445736,47.69491026,Intersection,0,,2016/11/23 00:00:00+00,2016,1,Daylight,0,1,,2,Dry,0,2,Injury Collision,,N,1,Overcast,1
-122.3200588,47.64135501,Intersection,0,,2016/11/21 00:00:00+00,2016,1,Daylight,1,0,Y,2,Dry,0,2,Injury Collision,,N,1,Overcast,1
-122.3172267,47.59749957,Intersection,0,,2016/11/29 00:00:00+00,2016,1,Dark - Street Lights On,1,0,Y,3,Dry,0,2,Injury Collision,,N,3,Clear,1
